"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
587,"heochanjpg","the pictures from the press are fucking with me a lot because i stayed in itaewon for a month earlier this year, ju",2022-10-30 22:25:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:25:23,22
588,"lhCWEsQ4ieBpbzf","i pray for all the victims and their families in itaewon.",2022-10-30 22:25:18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:25:18,22
589,"spidahkii","rest in peace to the victims of itaewon my deepest condolences to family and friends prayers for speedy recovery of the injured",2022-10-30 22:25:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:25:13,22
590,"fauxghosts","im so so sad reading about what happened in itaewon :( so many young victims who just wanted to have a fun hallowe",2022-10-30 22:25:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:25:12,22
591,"EMOWOOHWA","a tragedy occured in itaewon over the weekend and a lot of people unfortunately died. sk declared a one we",2022-10-30 22:25:06,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:25:06,22
592,"Susan16Park","in itaewon just down the road from hannam",2022-10-30 22:24:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:24:57,22
593,"X_ENERGERIC","this man is actually climbing on the wall of the troubadour mall, waikiki bar is also not in the street t",2022-10-30 22:24:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:24:49,22
594,"trezianeri","prayers for itaewon",2022-10-30 22:24:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:24:47,22
595,"Kind_regards__","the itaewon footage is so horrific",2022-10-30 22:24:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:24:12,22
596,"capaldo_laura","how a festive night in seoul turned deadly =&gt;",2022-10-30 22:24:05,"<a href=""https://follow.it"" rel=""nofollow"">follow.it</a>",2022-10-30 22:00:00,"others",2022-10-30 22:24:05,22
597,"nrilhmnjwa","readin this itaewon stampede give me sort of goosebumps thinkin how they struggle to survive in such small alley",2022-10-30 22:24:03,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:24:03,22
598,"zxzi0","i wish nayeon was in the itaewon halloween accident last night",2022-10-30 22:23:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:23:50,22
599,"JoyLundkvist","so there is this accident that happened in itaewon where over a hundred people past away itaewonhalloween korea",2022-10-30 22:23:01,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:23:01,22
600,"heochanjpg","nah man this itaewon situation has been on my mind ever since it really broke out and it's just so upsetting. condo",2022-10-30 22:22:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:22:41,22
601,"ROKreport","(3rd ld) yoon announces national mourning period over itaewon stampede",2022-10-30 22:22:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:22:37,22
602,"incomebeetle","actor yoon hong bin recounts assisting with rescue efforts during the itaewontragedy",2022-10-30 22:22:27,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",2022-10-30 22:00:00,"others",2022-10-30 22:22:27,22
603,"lhCWEsQ4ieBpbzf","i pray for the victims and their families in itaewon.",2022-10-30 22:22:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:22:13,22
604,"tskim46240076","(15th ld) at least 153 killed, 133 injured in halloweenstampede in seouls itaewon itaewonhalloweenaccident",2022-10-30 22:22:04,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:22:04,22
605,"knkdaoo","prayforitaewon prayforseoul prayforkorea i am deeply sorry for what happened in itaewon.",2022-10-30 22:21:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:21:59,22
