"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
1,"whourj31","a soldier angry at the support fund consolation money for the bereaved family of the itaewon crush accident",2022-10-30 23:59:43,"<a href=""https://www.fs-poster.com/"" rel=""nofollow"">FS_Poster_App</a>",2022-10-31,"others",2022-10-30 23:59:43,23
2,"nnainot","nah this itaewon tragedy really has me shaken up bc wth",2022-10-30 23:59:32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:59:32,23
3,"febry_sri_M","pray for itaewon,",2022-10-30 23:59:31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:59:31,23
4,"telehuntwatch","translation : seoul residents lay flowers at a makeshift memorial near the site of the crush in itaewon, which kill",2022-10-30 23:59:28,"<a href=""https://ruprop.live"" rel=""nofollow"">telehunt</a>",2022-10-31,"others",2022-10-30 23:59:28,23
5,"Typing0824","the itaewon stampede incident really caught me off guard. makes me notice how important it is to know some basics f",2022-10-30 23:59:20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:59:20,23
6,"niccijsmith","what to do about my child what to do about my child park ga-youngs mother, choi seon-mi, said as she cried for",2022-10-30 23:59:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:59:04,23
7,"502SPIDEY","can't imagine the pain the families and friends of the victims in itaewon are going through rn",2022-10-30 23:58:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:58:56,23
8,"maeannesalazar","pray for itaewon",2022-10-30 23:58:45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:58:45,23
9,"bigvirtue1","bigvirtue1 top of top fortuneteller photos from the halloween festival in itaewon, seoul .",2022-10-30 23:58:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:58:37,23
10,"ashxxy","theres just no words to even describe the amount of pain and heartbreak i feel about those impacted by the itaewon",2022-10-30 23:58:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:58:31,23
11,"daiIybokutos","man, just read the full extent of what happened in itaewon. my heart breaks for the families and friends of the vic",2022-10-30 23:58:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:58:16,23
12,"StaffBlackpink","blackpink in houston day 2 blackpink yg bornpinkshutdown lisa jennie rose jisoo",2022-10-30 23:57:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:57:59,23
13,"HangukConnect","all events in suwon city will be canceled until november 5, the national mourning period for the 'itaewon crushin",2022-10-30 23:57:52,"<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>",2022-10-31,"others",2022-10-30 23:57:52,23
14,"thirteenpeace","pray for itaewon",2022-10-30 23:57:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:57:42,23
15,"SmphphSuph","condolences to the deceased. pray for itaewon itaewon r.i.p",2022-10-30 23:57:28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:57:28,23
16,"NamTrun61365560","i hope the injured get well soon and the victims who died in this incident rest in peace, this will be s",2022-10-30 23:57:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:57:24,23
17,"degreesofK","i didnt realize that the itaewon crowd crush tragedy was literally people just going out to have fun :(( oh gosh",2022-10-30 23:57:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:57:20,23
18,"yewfoundme","itaewon incident is literally a halloween nightmare come true rip",2022-10-30 23:57:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:57:07,23
19,"jirodice","so sad what happened in itaewon",2022-10-30 23:57:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:57:07,23
20,"coancobo","holland just twt about it but ppl are not taking the situation in itaewon seriously",2022-10-30 23:56:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:56:58,23
21,"jaeragoo","missing fr itaewon, seoul you can report and inquire regarding your loved one that is missing from the tragedy by",2022-10-30 23:56:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:56:41,23
22,"_legatsby","footage from itaewon makes me so sad fr. this is insane",2022-10-30 23:56:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:56:27,23
23,"livedeliberate","it was cancelled after the disaster in itaewon out of respect for the people who passed and the national",2022-10-30 23:56:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:56:22,23
24,"njhlvvr","ppl died here so every concert event and parade got cancelled mourning to that situation (the itaewon thing)",2022-10-30 23:56:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:56:16,23
25,"Leebitgf1","its a tragedy what happened in itaewon, my condolences to the victims and the families that where effected, truly heartbreaking",2022-10-30 23:56:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:56:07,23
26,"_andy_exe","missing in itaewon",2022-10-30 23:55:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:55:59,23
27,"seokjin_rose","my deapest condelence to all the victims of itaewon tragedy hope all there familys will be strongly enought to acce",2022-10-30 23:55:51,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:55:51,23
28,"Chanilla_Latte","my sincerest condolences to everyone who lost a friend or family member in the itaewon disaster. prayforitaewon",2022-10-30 23:55:34,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:55:34,23
29,"Lulam70","'i was there when she said she couldn't breathe': australian who saw friend crushed blames seoul authorities",2022-10-30 23:55:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:55:34,23
30,"C00LTA3","tw tragedy, death what doesnt click of not uploading the concert videos while in the itaewon mourning period im atinyphobic",2022-10-30 23:55:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:55:29,23
31,"KW4KFI4H","peoe are making the accident in itaewon about themselves",2022-10-30 23:55:25,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:55:25,23
32,"jaybkdy","its been almost a day since the itaewon tragedy n some of yall r being so insensitive, if u dont post the concer",2022-10-30 23:55:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:55:03,23
33,"Facu64310520","god itaewon",2022-10-30 23:55:02,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:55:02,23
34,"8o88ic","aside from negligence he didn't learn anything from this get this person fired itaewon",2022-10-30 23:54:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:54:56,23
35,"thecursedco","quick update for anyone who might not have seen my ig post knowing i'm in seoul right now: yes i am safe and manage",2022-10-30 23:54:56,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:54:56,23
36,"Yoyolivesoibts","my condolences to the people affected by the itaewon tragedy.",2022-10-30 23:54:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:54:34,23
37,"IAChief32","the section of seoul where it happened was itaewon. it is a collection of shops, bars and restaurants fre",2022-10-30 23:54:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:54:19,23
38,"papingoal","itaewon halloween death: about 50 people suffer cardiac arrest in seoul itaewon halloween obituary and cause ofd",2022-10-30 23:53:47,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",2022-10-31,"others",2022-10-30 23:53:47,23
39,"fluke_3007","pray for itaewon",2022-10-30 23:53:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:53:44,23
40,"dalmoonA","the itaewon stampede is so scary and heartbreaking. thoughts go out to the lives lost and affected.",2022-10-30 23:53:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:53:35,23
41,"Realsavagekitty","sewol ferry tragedy and itaewon tragedy will now most definitely be marked as 2 of the most tragic events in korea",2022-10-30 23:53:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:53:12,23
42,"BernadiaIrawati","my deepest condolences to the families who lost the beloved ones over the itaewon tragedy. very sad! i hope this ki",2022-10-30 23:52:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:52:16,23
43,"imsyima","so it is true lah ada msian died in itaewon incident tu",2022-10-30 23:52:08,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:52:08,23
44,"ortizvillacorta","landed last night in south korea, a country in mourning. my heart goes out to all the victims and their families.",2022-10-30 23:52:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:52:07,23
45,"hiraeth8221","i am so sorry i am only rting stuff about itaewon and the crowd sirge but i just...",2022-10-30 23:51:59,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:51:59,23
46,"shinneoi","i literally cannot even read about the itaewon tragedy without flying into an uncontrollable rage because of this.",2022-10-30 23:51:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:51:51,23
47,"niccijsmith","univ. of kentucky confirmed nursing student anne gieske, as itaewon victim. there arent adequate or appropriate",2022-10-30 23:51:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:51:49,23
48,"korea_odyssey","actor leejihan, who was on season 2 of mnet produce101, has died during the deadly stampeded in itaewon. his a",2022-10-30 23:51:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:51:46,23
49,"rkivebinnie","someone from produce 101 also died in the itaewon incident",2022-10-30 23:51:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:51:42,23
50,"deedeekennedy","having been in several crowd surges during and after concerts over the years, this thread below could definitely",2022-10-30 23:51:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:51:26,23
51,"SaminehSanatkar","so devastated hearing about the young people in itaewon who lost their lives. i am heartbroken for the families, pa",2022-10-30 23:51:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:51:14,23
52,"thedextazlab","itaewon crowd crush kills 154, injures 149 others",2022-10-30 23:51:11,"<a href=""https://bots.thedextazlab.com"" rel=""nofollow"">@thedextazlab</a>",2022-10-31,"others",2022-10-30 23:51:11,23
53,"yonk9312","so it is true one of his friend who also appear in sok was a victim in tragedy in itaewon.... rip",2022-10-30 23:51:10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:51:10,23
54,"percy_11_2","praying for all the families that have been affected by the halloween event in itaewon",2022-10-30 23:51:07,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2022-10-31,"ipad",2022-10-30 23:51:07,23
55,"sheissassy","as someone who cant cope in crowded places and struggle to breath, imagine the torture those people had to go thro",2022-10-30 23:51:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:51:00,23
56,"comicnayeon","pray for itaewon",2022-10-30 23:50:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:50:52,23
57,"puffingseas","news is coming out on the itaewon tragedy and its all just so frustating &amp; devastating. such a huge loss of life th",2022-10-30 23:50:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:50:42,23
58,"chungheejin8640","2 americans died in itaewon's district during the halloween crowd surge last saturday in seoul, south korea.",2022-10-30 23:50:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:50:24,23
59,"ashkyuu","rest in peace itaewon condolences",2022-10-30 23:50:17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:50:17,23
60,"10NewsFirst","rached was among the 153 people killed in the crowd crush in a narrow alley near a popular party spot in the itaewo",2022-10-30 23:50:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:50:01,23
61,"IlmaMirza13","i still pray for itaewon..",2022-10-30 23:49:23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:49:23,23
62,"mmoonxchild","what happened at itaewon couldve been avoided. people dont know how to act. and people lost their lives. ridiculous.",2022-10-30 23:49:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:49:17,23
63,"minyirby","the tragedy in itaewon is so heartbreaking, and hard to even wrap your head around. all i can say is my thoughts an",2022-10-30 23:49:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:49:14,23
64,"thedextazlab","foreign ambassadors express condolences over itaewon crowd crush",2022-10-30 23:49:10,"<a href=""https://bots.thedextazlab.com"" rel=""nofollow"">@thedextazlab</a>",2022-10-31,"others",2022-10-30 23:49:10,23
65,"goldenbear_kim","look the head of the dead itaewon",2022-10-30 23:48:57,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:48:57,23
66,"nftstudio24","we are deeply saddened by the news of the loss of many precious lives in the itaewon, seoul, disas",2022-10-30 23:48:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:48:54,23
67,"kunoichisama","because it's a western holiday korea has only semi adopted. you barely know it's halloween everywhere",2022-10-30 23:48:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:48:38,23
68,"LunaiMoony","please block people who are insensitive, disrespectful and uploading uncensored videos and photos of poor souls who",2022-10-30 23:48:16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:48:16,23
69,"NovocaineAndy2","my morning is sad seeing people still trying to find their friends or loved ones missing from the itaewon tragedy",2022-10-30 23:48:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:48:05,23
70,"BlahAMYftw","the tragedy in itaewon is the reason why i avoid crowded areas. what happened was so horrible.",2022-10-30 23:48:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:48:04,23
71,"DibyajitHajong","never thought stampade could occur in crowded street regarding itaewon disaster",2022-10-30 23:47:28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:47:28,23
72,"JIMIYA_Kim","praying for itaewon and families.",2022-10-30 23:47:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:47:20,23
73,"DrMarkPBarry","halloween disaster dims itaewons hopes of revival",2022-10-30 23:47:19,"<a href=""https://twitterrific.com/mac"" rel=""nofollow"">Twitterrific for Mac</a>",2022-10-31,"others",2022-10-30 23:47:19,23
74,"Diana6197Davis","in the party district of itaewon, seoul, south korea people still trying to process the halloween tragedy! smirking",2022-10-30 23:47:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:47:05,23
75,"JM_LaMochie","pray for itaewon keep safe everyone.",2022-10-30 23:47:02,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:47:02,23
76,"Katrina99892582","condolences to all the families who have lost their love ones in the itaewon tragedy. prayforitaewon",2022-10-30 23:47:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:47:00,23
77,"Kongduino","there's a huge us base nearby. and indeed a big chunk of itaewon is a hill with seedy",2022-10-30 23:46:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:46:55,23
78,"busha69","i keep seeing random people talking about this rumour of celebrity sighting in itaewon causing the incident...my da",2022-10-30 23:46:55,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:46:55,23
79,"starrynyong","i'm so sorry for what happened in itaewon, it must had been horrible for everyone, my condolences to the families of the victims :((",2022-10-30 23:46:54,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:46:54,23
80,"xxxjhyukism","may all victims rest in peace itaewon",2022-10-30 23:46:52,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:46:52,23
81,"inquirerdotnet","moment before halloween tragedy look: a street in itaewon district is pictured full of people before a stampede du",2022-10-30 23:46:33,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2022-10-31,"others",2022-10-30 23:46:33,23
82,"Gisella_blssd","my heart is really heavy for what happened in itaewon. my prayer goes for everyone who lost someone",2022-10-30 23:46:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:46:33,23
83,"MetalPrincess__","thats the thing thoughit wasnt a party or any eve",2022-10-30 23:46:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:46:25,23
84,"etammykim","day 1 of vigilant storm, the smell of burning jet fuel in the air. but most of sk thinking about itaewon, not ene",2022-10-30 23:46:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:46:19,23
85,"FudgeSpicy","all major countries export their culture. countries want soft power throughout the worl",2022-10-30 23:46:07,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:46:07,23
86,"BUBBL36YU","reading what happened in itaewon breaks my heart. thousands of people just finally being able to have a celebration",2022-10-30 23:46:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:46:03,23
87,"hyein8_","condolences to those families who lost their loved ones because of the itaewon incident. may their soul rest in pea",2022-10-30 23:45:55,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:45:55,23
88,"haru_with_me","my deepest condolences to everyone who lost loved ones in itaewon tragedy. prayforitaewon",2022-10-30 23:45:54,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:45:54,23
89,"apsichr","also my mistake, it's itaewon, sorry for the misspelling",2022-10-30 23:45:53,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:45:53,23
90,"rose_howdy","usfk sends condolences after fatalhalloween surgein seoul",2022-10-30 23:45:48,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:45:48,23
91,"PhmSonia","prayers up for the victims and families of the terrible halloween incident in itaewon. just a horrific and heartbreaking tragedy.",2022-10-30 23:45:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:45:26,23
92,"FOXBaltimore","a costa rican architect who has worked in seoul for the past eight years said saturday's halloween festivities at t",2022-10-30 23:45:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2022-10-31,"others",2022-10-30 23:45:00,23
93,"upnorthlive","a university of kentucky student who was studying in south korea was one of more than 150 people killed when a huge",2022-10-30 23:45:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2022-10-31,"others",2022-10-30 23:45:00,23
94,"starsandstripes","the u.s. military command in south korea offered its condolences after a deadly surge in a seoul nightlife district",2022-10-30 23:45:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2022-10-31,"others",2022-10-30 23:45:00,23
95,"ichashinhwa","or maybe i also take itaewon tragedy quite personally. i wouldn't go anywhere near it, but i know many of my friend",2022-10-30 23:44:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:44:47,23
96,"davidkersten","there was a stampede in hong kong's lan kwai fong on halloween in which 20 people died. but that was 19 years ago.",2022-10-30 23:44:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:44:44,23
97,"selenacyira","pray for itaewon",2022-10-30 23:44:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:44:42,23
98,"kmjinlove","my heart.. one of my friends who i checked up on thought i was in sk in itaewon. shes a mom, and so she thought i",2022-10-30 23:44:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:44:37,23
99,"inwweex","pray for itaewon",2022-10-30 23:44:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:44:13,23
100,"blueside_vibes","my condolence to the families who lost a loved one in itaewon. i wish fast recovery to those injured",2022-10-30 23:43:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:43:55,23
101,"melissamorris50","poor jimin keep your head up and i hope and pray that the ones injured yesterday in itaewon heal fa",2022-10-30 23:43:45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:43:45,23
102,"RANNIESUSJEANS","kpop fans blocking people for posting/rting kpop concerts because of the itaewon incident is performative activism",2022-10-30 23:43:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:43:31,23
103,"dctaespa","who was the celebrity spotted at the halloween itaewon crush also im very sorry for all the people who died.",2022-10-30 23:43:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:43:28,23
104,"ukelelechild09","this is going to be a tough week, but i know that we will get through this, have hope dear friends. the lord is",2022-10-30 23:43:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:43:21,23
105,"minasracha","popped up on tl again i want to reiterate if ur bitching about things being cancelled bc of what happened in itaewo",2022-10-30 23:43:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:43:11,23
106,"soonswnu","my heart goes out to all of the victims of the itaewon tragedy and their love ones :(",2022-10-30 23:42:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:42:35,23
107,"RKVEMIN","my whole tik tok fyp is of the itaewon halloween incident. my heart goes out to the family, friends, significant ot",2022-10-30 23:42:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:42:18,23
108,"bigbardijisoo","not itaewon",2022-10-30 23:42:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:42:17,23
109,"namjoonshime","begging hollywood to not make a movie about itaewon",2022-10-30 23:42:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:42:16,23
110,"twinkyxstar","there are so many tragedy &amp; disaster as of recently. other than the itaewon incident, a bridge collapsed in gujarat",2022-10-30 23:42:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:42:12,23
111,"hsgsunki","condolences to itaewon, and those who lost loved ones.",2022-10-30 23:42:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:42:02,23
112,"IvanCNN","authorities in seoul erected a memorial to the many young victims of saturday nights itaewon halloween party disas",2022-10-30 23:42:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:42:00,23
113,"WomenLeisure","hello everyone!im alive &amp; fine. what are the chances that i was suppose to go to itaewon that night at 9:00pm aft",2022-10-30 23:41:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:41:46,23
114,"staytiny_uni_","seeing ateez perform mist after the events in itaewon.. im fucking broken",2022-10-30 23:41:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:41:45,23
